Time,Interest Rate
0,0.03
1,0.03397371322408986
2,0.032867598814720386
3,0.03804910711952593
4,0.050233345970790134
5,0.04836011897300345
6,0.04648702331741
7,0.059120725841469136
8,0.0652602036746924
9,0.06150440858721278
10,0.0658448889359005
11,0.0621375473934008
12,0.05841170936483874
13,0.06034740753736702
14,0.04504116558010463
15,0.03124182292000037
16,0.026743522686072586
17,0.018640873723397195
18,0.021154852384159387
19,0.0138906597799897
20,0.0025922301693073677
21,0.0143174203206798
22,0.012511209916787515
23,0.013051435554290905
24,0.001653450064583251
25,-0.00270161173161821
26,-0.0018142310139392815
27,-0.011022179633317704
28,-0.008016595486552328
29,-0.012821705005902767
30,-0.01515525500424898
31,-0.01996890790208416
32,-0.005150682426012656
33,-0.005258660223916127
34,-0.01372034765556333
35,-0.007139988358737818
36,-0.016906737558505996
37,-0.015235828798467953
38,-0.030913189789506156
39,-0.0415386781806936
40,-0.039963788293740615
41,-0.03405605565377733
42,-0.03268510940425757
43,-0.033610295663363494
44,-0.036019125228077806
45,-0.04784730115101722
46,-0.05360605481817489
47,-0.05729116498585319
48,-0.04883418717610186
49,-0.04608524085955417
50,-0.060189562102456046
51,-0.05759689034729769
52,-0.06067754859062822
53,-0.06609292459307589
54,-0.061199514282348946
55,-0.05295151810238134
56,-0.045501277149451756
57,-0.052215017335232865
58,-0.05468871634204258
59,-0.05203860889081407
60,-0.044234247873835196
61,-0.04806764177659752
62,-0.04955291358990806
63,-0.05840359338195628
64,-0.06797324637460164
65,-0.06147303979544806
66,-0.05062311956688148
67,-0.05119920053952415
68,-0.04317093735638795
69,-0.04027784915600688
70,-0.045438807192847874
71,-0.042547642348780564
72,-0.03024334981705281
73,-0.030529958129932422
74,-0.01801280888342037
75,-0.038970769716138325
76,-0.03239554968113653
77,-0.031699173135231164
78,-0.034091231938958105
79,-0.03335714572667409
80,-0.04925769704348123
81,-0.051015072146181326
82,-0.048158171574087354
83,-0.03633501921615523
84,-0.040481180962344404
85,-0.0469491297854899
86,-0.05096318613416619
87,-0.0436399691925496
88,-0.041009960315272126
89,-0.045248041945408435
90,-0.041141902480501584
91,-0.04036528208571726
92,-0.032616122161454146
93,-0.038232546912472964
94,-0.04085384408525511
95,-0.04399070931031237
96,-0.05569882889536932
97,-0.053329866678852714
98,-0.0512414245014136
99,-0.05120051684827391
100,-0.05307721391527508
101,-0.0644001798516784
102,-0.06776534243380126
103,-0.07050705856601543
104,-0.07692527671978838
105,-0.07821556241311646
106,-0.07498315555860015
107,-0.05989366834891591
108,-0.0584970458462612
109,-0.05643664272047908
110,-0.05703221004660842
111,-0.07238237976900075
112,-0.07259449077259449
113,-0.07211264909306628
114,-0.05240671219318399
115,-0.05394559991143297
116,-0.05153322117276407
117,-0.051810915330406014
118,-0.06116033963136227
119,-0.052017757115242105
120,-0.04600229285374791
121,-0.03967403727740354
122,-0.046949136915761455
123,-0.03572678242827266
124,-0.046941590930610906
125,-0.042246734180208745
126,-0.024723089173728917
127,-0.03264737977477442
128,-0.037177761611596596
129,-0.03638055069089546
130,-0.04040835592382506
131,-0.05281366337235412
132,-0.0522651595739059
133,-0.06076358928371474
134,-0.05697484983863329
135,-0.06433024371250372
136,-0.0519307684723634
137,-0.0581967948110533
138,-0.0607732869406987
139,-0.054265149201741344
140,-0.06411206373321299
141,-0.06229238425637995
142,-0.05183524222212053
143,-0.06469510809861034
144,-0.06321803723035191
145,-0.06113897487636452
146,-0.054884391902146036
147,-0.06477999758917069
148,-0.0753436504938449
149,-0.0711681179689097
150,-0.06879224058304421
151,-0.0667882977802772
152,-0.06401671210430139
153,-0.06945690987692932
154,-0.06759888029964128
155,-0.06525430051325183
156,-0.07096911185746277
157,-0.05604291576830472
158,-0.05225225240101042
159,-0.061782680378631605
160,-0.056530251509560966
161,-0.06432770487137954
162,-0.05803102804143992
163,-0.04876226340938069
164,-0.05532772195619437
165,-0.047620712922239794
166,-0.044318465506747805
167,-0.03774198422679188
168,-0.022567640365560304
169,-0.02453074529358327
170,-0.030560634608443184
171,-0.03767675004544737
172,-0.04420323232517088
173,-0.04482004600048371
174,-0.04209083020195056
175,-0.03987730380731041
176,-0.03325983781502222
177,-0.03315582267999896
178,-0.021527550062740427
179,-0.023644804728644074
180,-0.0018834513959271222
181,0.0031218873861929277
182,-0.003735373065137333
183,-0.012302513049626231
184,-0.00844273372768075
185,-0.010230436010287558
186,-0.004518432057550822
187,-0.0007325310609624632
188,-0.0013151623622174454
189,-0.008089512106764686
190,-0.0202082899042516
191,-0.02378040952078777
192,-0.01692921916619999
193,-0.015216469213158359
194,-0.025182379442854265
195,-0.02379693203604481
196,-0.020714392998214114
197,-0.027785252487823178
198,-0.026555451640258954
199,-0.026089781892690955
